Depmap ID,Expression Public 23Q2,Cell Line Name,Primary Disease,Lineage,Lineage Subtype
ACH-000001,7.951343004498137,NIHOVCAR3,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000002,8.058154118313919,HL60,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000003,8.355967689241002,CACO2,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000004,7.638653116466112,HEL,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000005,7.498889086976805,HEL9217,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000006,8.111240020532454,MONOMAC6,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000007,6.416670877273918,LS513,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000008,8.147662850685126,A101D,Melanoma,Skin,Melanoma
ACH-000009,8.543650537983554,C2BBE1,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000011,8.957624452212666,253J,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000012,7.661279302158581,HCC827,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000013,8.119926750525812,ONCODG1,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000014,8.131856960608793,HS294T,Melanoma,Skin,Melanoma
ACH-000015,8.635790661312605,NCIH1581,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000016,8.558420713268664,SLR21,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000017,7.942221244835966,SKBR3,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000018,7.60139939053183,T24,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000019,8.173477268600971,MCF7,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000020,7.742343123841082,MHHCALL2,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000021,8.629028697577711,NCIH1693,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000022,7.997687581487513,PATU8988S,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000023,8.417979061532257,PATU8988T,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000024,6.622930350920177,OPM2,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000025,7.474841602257801,CH157MN,Meningothelial Tumor,CNS/Brain,Meningothelial Tumor
ACH-000026,8.308339030139408,253JBV,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000027,8.460414939162169,GOS3,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000028,8.469967353437859,KPL1,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000029,8.062801701503002,HCC827GR5,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000030,8.588864518190148,PC14,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000031,8.089847680689164,PANC0213,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000032,7.099715999160909,MHHCALL3,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000033,8.303780748177102,NCIH1819,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000034,6.8718436485093175,PLB985,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000035,8.287804709077554,NCIH1650,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000036,8.22554487000337,U343,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000037,8.721475197652456,S117,"Sarcoma, NOS",Soft Tissue,"Sarcoma, NOS"
ACH-000038,8.145830274966011,EHEB,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000039,8.10800164646591,SKNMC,Ewing Sarcoma,Bone,Ewing Sarcoma
ACH-000040,8.852623137196137,U118MG,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000041,7.718224611556279,RDES,Ewing Sarcoma,Bone,Ewing Sarcoma
ACH-000042,7.810314561497258,PANC0203,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000043,8.181052842929413,HS895T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000044,9.631086088457762,MDAMB134VI,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000045,8.959480381767447,MV411,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000046,7.667537367060672,ACHN,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000048,8.196331634265757,TOV112D,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000049,8.050501697446727,HEKTE,Non-Cancerous,Kidney,Non-Cancerous
ACH-000050,8.919697612915336,NCIH929,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000051,8.620329810771702,TE617T,Rhabdomyosarcoma,Soft Tissue,Rhabdomyosarcoma
ACH-000052,8.57882552651115,A673,Ewing Sarcoma,Bone,Ewing Sarcoma
ACH-000053,7.934044647112246,KARPAS299,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
